id;decreenum;decreeyear;purpose;dectype;daynum;city;countrty;start_date;end_date;area;cost;decreecost;image_url;image;image_content_type
1;15907;62345;Automotive Engineer CSS;TRAINING;84718;East Odellburgh;client-driven Borders;2021-11-04;2021-11-04;HTTP;protocol North tertiary;Row;Pine;../fake-data/blob/hipster.png;image/png
2;72886;46159;New Manager;WORK;75656;North Lew;dynamic Berkshire;2021-11-03;2021-11-04;Multi-tiered Legacy;backing;Assistant;knowledge virtual Metrics;../fake-data/blob/hipster.png;image/png
3;37692;13802;Handcrafted Avon Sharable;TRAINING;18176;Port Luisa;Operations;2021-11-03;2021-11-04;Fresh User-centric S);Handmade;partnerships lime Peso;Mouse;../fake-data/blob/hipster.png;image/png
4;37860;42154;Trail invoice;WORK;92670;Kshlerinville;Kip Savings;2021-11-04;2021-11-03;Towels;firewall moratorium Exclusive;Research impactful;Car Program;../fake-data/blob/hipster.png;image/png
5;52730;45964;bypass Producer system;MISSION;84290;Ratkeshire;Product Ergonomic;2021-11-04;2021-11-04;analyzing Barbados;Congolese orchestrate;Associate;GB service-desk ivory;../fake-data/blob/hipster.png;image/png
6;10581;66612;Plastic;WORK;84912;Gustaveton;Soap Health Regional;2021-11-04;2021-11-04;USB AGP;payment payment Plastic;compelling;24/7 ability;../fake-data/blob/hipster.png;image/png
7;18478;3956;Road infomediaries;WORK;88716;South Henritown;invoice EXE;2021-11-04;2021-11-03;payment bandwidth;Fantastic Unbranded;Analyst;invoice;../fake-data/blob/hipster.png;image/png
8;38040;7261;Mouse Ball Diverse;MISSION;60142;South Gate;Bhutan Sausages;2021-11-04;2021-11-04;parse;Rubber Handmade;navigate Branding USB;Practical function Buckinghamshire;../fake-data/blob/hipster.png;image/png
9;69224;77115;Account South regional;MISSION;91969;Clarabelleville;Manager;2021-11-04;2021-11-04;Licensed circuit Fish;convergence Borders;Pants;wireless Dobra;../fake-data/blob/hipster.png;image/png
10;36960;92794;Handmade Avon;MISSION;1642;Rebekaburgh;blue PCI Mouse;2021-11-04;2021-11-04;Coordinator Liaison;Licensed transmit Flat;Intranet;Communications;../fake-data/blob/hipster.png;image/png
