id;name;phone;address
1;navigate empower Extension;(650) 224-6720;silver solid Configurable
2;transmit Home Human;913.235.1288 x9255;Factors Coordinator
3;Health brand interfaces;(231) 972-2470 x436;1080p
4;hacking Granite;(269) 383-3338 x338;wireless plug-and-play logistical
5;transmitting Music;1-582-232-5026 x264;quantify
6;Oregon primary local;(950) 969-9949 x592;panel
7;New Escudo Industrial;1-650-538-6287 x0123;GB
8;Account transmitting integrated;481-349-3257;Investor Health
9;override;(632) 365-3807;payment Steel Rustic
10;Loop Lempira Borders;999-455-9876 x769;productize Account
